# ==============================================,,,,,,,,,
# TCC - Log de Teste de Envelhecimento,,,,,,,,,
# ==============================================,,,,,,,,,
# Data/Hora Início: 2026-01-10 11:52:13,,,,,,,,,
# ,,,,,,,,,
# PARÂMETROS PID (FIXOS):,,,,,,,,,
#   Kp = 2.780000,,,,,,,,,
#   Ki = 0.00106000,,,,,,,,,
#   Kd = 5.000000,,,,,,,,,
# ,,,,,,,,,
# MODELO FOPDT IDENTIFICADO:,,,,,,,,,
#   G(s) = 1.56 * exp(-150.6s) / (1307.2s + 1),,,,,,,,,
#   K = 1.56 °C/%,,,,,,,,,
#   θ = 150.6 s,,,,,,,,,
#   τ = 1307.2 s,,,,,,,,,
# ,,,,,,,,,
# CONFIGURAÇÃO:,,,,,,,,,
#   Taxa de Rampa: 1.0 °C/s,,,,,,,,,
#   Intervalo de Amostragem: 1000 ms,,,,,,,,,
#   Janela PWM (SSR): 5000 ms,,,,,,,,,
# ,,,,,,,,,
# LIMITES DE SEGURANÇA:,,,,,,,,,
#   Temp. Máx. Forno: 130.0 °C,,,,,,,,,
#   Temp. Máx. DUT: 130.0 °C,,,,,,,,,
#   Corrente Máx. PSU: 1.5 A,,,,,,,,,
# ==============================================,,,,,,,,,
# ,,,,,,,,,
time_sec,oven_temp_c,oven_setpoint_c,oven_output_pct,psu_voltage_v,psu_current_a,dut_temp_c,dut_slack,dut_volt,
78.999,43.62,100,100,1,0.049,37.129,58,0.995,411.837
79.999,43.57,100,100,1,0.049,37.547,60,0.994,412.837
80.999,43.78,100,100,1,0.049,37.158,60,0.993,413.837
81.999,43.89,100,100,1,0.049,37.025,59,0.993,414.837
82.999,43.87,100,100,1,0.05,37.291,60,0.993,415.837
83.999,43.91,100,100,1,0.049,37.537,59,0.995,416.837
84.999,44.01,100,100,1,0.049,36.902,60,0.993,417.837
85.999,44.02,100,100,1,0.049,36.636,58,0.993,418.837
86.999,44.14,100,100,1,0.049,37.537,58,0.994,419.837
87.999,44.13,100,100,1,0.05,37.148,58,0.995,420.837
88.999,44.26,100,100,1,0.049,36.769,58,0.993,421.837
89.999,44.28,100,100,1,0.049,37.158,60,0.993,422.837
91,44.26,100,100,1,0.049,37.158,58,0.993,423.838
91.999,44.47,100,100,1,0.049,36.666,60,0.992,424.837
92.999,44.47,100,100,1,0.049,37.015,60,0.993,425.837
93.999,44.55,100,100,1,0.049,36.902,60,0.993,426.837
94.999,44.68,100,100,1,0.049,37.301,61,0.993,427.837
95.999,44.64,100,100,1,0.049,37.557,58,0.993,428.837
96.999,44.75,100,100,1,0.049,37.129,60,0.993,429.837
97.999,44.79,100,100,1,0.049,37.281,58,0.993,430.837
99,44.93,100,100,1,0.049,37.813,59,0.993,431.838
99.999,44.93,100,100,1,0.049,37.404,60,0.993,432.837
