Data,Hora,Temperatura,Slack,Tensão
07/04/2025,12:52:34,103989,135,1297
07/04/2025,12:52:36,103211,137,1298
07/04/2025,12:52:38,103467,135,1298
07/04/2025,12:52:40,103733,135,1297
07/04/2025,12:52:42,103192,135,1298
07/04/2025,12:52:44,103979,137,1297
07/04/2025,12:52:46,103221,136,1298
07/04/2025,12:52:48,103600,135,1300
07/04/2025,12:52:50,103846,137,1297
07/04/2025,12:52:52,103354,135,1297
07/04/2025,12:52:54,103620,137,1297
07/04/2025,12:52:56,102729,137,1298
07/04/2025,12:52:58,103477,136,1298
07/04/2025,12:53:00,103201,137,1299
07/04/2025,12:53:02,103630,136,1300
07/04/2025,12:53:04,103221,137,1299
07/04/2025,12:53:06,103487,136,1297
07/04/2025,12:53:08,103620,137,1299
07/04/2025,12:53:10,103733,137,1299
07/04/2025,12:53:12,103507,137,1297
07/04/2025,12:53:14,103221,137,1300
07/04/2025,12:53:16,102862,137,1298
07/04/2025,12:53:18,102936,136,1298
07/04/2025,12:53:20,103088,136,1297
07/04/2025,12:53:22,103118,135,1298
07/04/2025,12:53:24,102729,136,1300
07/04/2025,12:53:26,102872,135,1300
07/04/2025,12:53:28,102832,137,1299
07/04/2025,12:53:30,103374,137,1300
07/04/2025,12:53:32,103600,137,1299
07/04/2025,12:53:34,103231,137,1299
07/04/2025,12:53:36,103078,137,1297
07/04/2025,12:53:38,103231,137,1299
07/04/2025,12:53:40,102955,136,1299
07/04/2025,12:53:42,103221,137,1298
07/04/2025,12:53:44,103108,137,1299
07/04/2025,12:53:46,102473,136,1299
07/04/2025,12:53:48,103364,135,1300
07/04/2025,12:53:50,102759,136,1299
07/04/2025,12:53:52,103620,136,1298
07/04/2025,12:53:54,102965,137,1300
07/04/2025,12:53:56,102852,136,1300
07/04/2025,12:53:58,103098,136,1300
07/04/2025,12:54:00,102473,136,1299
07/04/2025,12:54:02,102852,136,1299
07/04/2025,12:54:04,102606,136,1299
07/04/2025,12:54:06,102862,137,1300
07/04/2025,12:54:08,103384,137,1300
07/04/2025,12:54:10,102995,137,1299
07/04/2025,12:54:12,102616,137,1300
07/04/2025,12:54:14,102606,137,1299
07/04/2025,12:54:16,103015,137,1300
07/04/2025,12:54:18,103640,137,1300
07/04/2025,12:54:20,102852,137,1300
07/04/2025,12:54:22,103640,136,1300
07/04/2025,12:54:24,102360,136,1301
07/04/2025,12:54:26,102463,136,1299
07/04/2025,12:54:28,102862,137,1300
07/04/2025,12:54:30,103098,137,1300
07/04/2025,12:54:32,102862,137,1298
07/04/2025,12:54:34,102739,137,1300
07/04/2025,12:54:36,102217,137,1300
07/04/2025,12:54:38,102257,136,1300
07/04/2025,12:54:40,102719,138,1300
07/04/2025,12:54:42,102217,136,1299
07/04/2025,12:54:44,102749,138,1299
07/04/2025,12:54:46,102596,137,1299
07/04/2025,12:54:48,102616,136,1300
07/04/2025,12:54:50,102227,137,1300
07/04/2025,12:54:52,102759,137,1300
07/04/2025,12:54:54,103138,136,1299
07/04/2025,12:54:56,102749,136,1299
07/04/2025,12:54:58,102862,137,1300
07/04/2025,12:55:00,102985,137,1301
07/04/2025,12:55:02,103005,136,1300
07/04/2025,12:55:04,102862,136,1302
07/04/2025,12:55:06,102872,137,1299
07/04/2025,12:55:08,102852,138,1301
07/04/2025,12:55:10,103025,137,1300
07/04/2025,12:55:12,102483,136,1300
07/04/2025,12:55:14,102975,138,1300
07/04/2025,12:55:16,102872,136,1300
07/04/2025,12:55:18,102350,137,1300
07/04/2025,12:55:20,102380,138,1299
07/04/2025,12:55:22,102862,136,1300
07/04/2025,12:55:24,102493,137,1300
07/04/2025,12:55:26,101715,138,1300
07/04/2025,12:55:28,102616,138,1302
07/04/2025,12:55:30,102759,137,1300
07/04/2025,12:55:32,102616,137,1301
07/04/2025,12:55:34,102616,137,1301
07/04/2025,12:55:36,101858,137,1300
07/04/2025,12:55:38,102473,137,1302
07/04/2025,12:55:40,103138,137,1299
07/04/2025,12:55:42,101705,137,1300
07/04/2025,12:55:44,102267,136,1300
07/04/2025,12:55:46,102350,137,1300
07/04/2025,12:55:48,102483,137,1302
07/04/2025,12:55:50,102862,137,1299
07/04/2025,12:55:52,102626,138,1300
07/04/2025,12:55:54,102247,137,1300
07/04/2025,12:55:56,102912,138,1302
07/04/2025,12:55:58,102739,137,1301
07/04/2025,12:56:00,102902,138,1301
07/04/2025,12:56:02,102759,137,1300
07/04/2025,12:56:04,102360,137,1300
07/04/2025,12:56:06,102749,137,1300
07/04/2025,12:56:08,102636,136,1302
07/04/2025,12:56:10,101838,138,1302
07/04/2025,12:56:12,103108,138,1300
07/04/2025,12:56:14,101961,137,1300
07/04/2025,12:56:16,102646,136,1301
07/04/2025,12:56:18,102523,138,1302
07/04/2025,12:56:20,102483,136,1300
07/04/2025,12:56:22,102473,138,1300
07/04/2025,12:56:24,102636,136,1298
07/04/2025,12:56:26,102473,137,1300
07/04/2025,12:56:28,102360,138,1300
07/04/2025,12:56:30,102759,136,1301
07/04/2025,12:56:32,102606,136,1301
07/04/2025,12:56:34,103384,136,1300
07/04/2025,12:56:36,102483,137,1301
07/04/2025,12:56:38,102237,137,1300
07/04/2025,12:56:40,102001,137,1300
07/04/2025,12:56:42,102340,137,1300
07/04/2025,12:56:44,102616,136,1300
07/04/2025,12:56:46,102739,138,1300
07/04/2025,12:56:48,102616,137,1301
07/04/2025,12:56:50,102882,137,1299
